,미디어타입,제목,장소명,장소설명,영업시간,브레이크타임,휴무일,주소,위도,경도,전화번호,최종작성일,img
10,drama,(아는 건 별로 없지만) 가족입니다,가든포에트,9화에서 이진숙(원미경)과 딸 김은주(추자현)가 찾아온 카페이다,화-일 11시 - 21시 30분,정보없음,월요일,서울특별시 마포구 와우산로14길 12,37.55016,126.9237,0507-1377-0887,2022-11-25,https://th.bing.com/th/id/OIP.j3IcSVfdF2do134WjNgq9QHaHa?w=192&h=192&c=7&r=0&o=5&dpr=1.3&pid=1.7
11,drama,(아는 건 별로 없지만) 가족입니다,구룡근린공원,12회에서 김지우(신재하 분)와 윤서영(신혜정/혜정 분)이 이 공원에서 회사 제품 화보 촬영을 한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 월드컵북로 456,37.582996,126.88385,02-3153-8114,2022-11-25,
12,drama,(아는 건 별로 없지만) 가족입니다,월드컵공원,12회에서 김은희(한예리)와 박찬혁(김지석)이 진솔한 이야기를 나누기 위해 이 공원을 찾아온다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 하늘공원로 86,37.5708905,126.878429,02-300-5500,2022-11-25,https://th.bing.com/th/id/OIP.mcop7HGt6gAbIR23vnpiRwHaFj?w=252&h=189&c=7&r=0&o=5&dpr=1.3&pid=1.7
13,drama,(아는 건 별로 없지만) 가족입니다,소월로 계단 3번,김상식(정진영)은 12회에서 아내 이진숙(원미경)을 데리고 이 계단으로 나와 아이들에게 커피 테이크아웃을 시켜준다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 소월로 168,37.547514,126.98424,02-2199-6114,2022-11-25,https://th.bing.com/th/id/OIP.Q47tRoF4m5wlan4TtPREwwHaHa?w=171&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
14,drama,(아는 건 별로 없지만) 가족입니다,대학로11길,김은희(김지석)는 이곳을 지나가다가 학생들이 걸어가는 방향을 피해서 김은희(예한) 학생들을 붙잡는다. 그리고 나서 그는 그녀의 손을 잡을 기회를 잡는다. 잠시 말문이 막힌 은희가 어색하지 않게 손을 뗀다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 대학로11길 13,37.582193,127.00092,02-2148-1114,2022-11-25,
15,drama,(아는 건 별로 없지만) 가족입니다,커피한약방 혜화점,김상식(정진영)은 온라인에서 나이 많은 커플들의 좋은 데이트 장소로 검색해 아내 이진숙(원미경)을 데려왔다. 그는 온라인에서 읽은 데이트 조언에 따라 커피를 마시면서 휴대 전화에 사진을 보여줍니다. (진심어린 대화로 상황이 더 진지해질 때까지.),"월-목 12시 - 21시, 금-일 12시 - 22시",정보없음,연중무휴,서울특별시 종로구 동숭2길 9,37.580861,127.0048,070-4200-4242,2022-11-25,https://th.bing.com/th/id/OIP.XHKiRrpmrQPaJdBc7bHS4AHaFj?w=240&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
16,drama,(아는 건 별로 없지만) 가족입니다,포시즌스호텔,12화에서 바리스터 안효석(이종원)이 김은주(추자현)에게 작별인사를 하고 있다.,"매일 입실 15시, 퇴실 12시",정보없음,연중무휴,서울특별시 종로구 새문안로 97,37.57065,126.9754,02-6388-5000,2022-11-25,https://th.bing.com/th/id/OIP.aDNfVFJlwsWer5lI3jMHXQHaFj?w=238&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
17,drama,(아는 건 별로 없지만) 가족입니다,푸른기린주차장,"김은희(한예리)는 4년 만에 만난 박찬혁(김지욱)과 저녁을 먹기 위해 이 주차장에 차를 주차했다. 저녁식사 후, 그는 주차비를 지불하고 그녀를 배웅해 준다.",매일 09시 - 23시,정보없음,연중무휴,서울특별시 종로구 화동 58-1,37.581775,126.981418,02-725-1481,2022-11-25,
18,drama,(아는 건 별로 없지만) 가족입니다,이비스 스타일 앰배서더 명동,계약 체결 중 박찬혁(김지석)은 그날 밤 김은주(추자현)로부터 만나자고 연락을 받는다. 그는 이 술집에서 은주를 만난다. 은주의 결혼 사진과 가족 문제에 대해 이야기한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 중구 삼일대로 302,37.56169,126.9894,02-6020-8888,2022-11-25,https://th.bing.com/th/id/OIP._N5phDtiNiiwuCUyNjykvgHaDt?w=339&h=175&c=7&r=0&o=5&dpr=1.3&pid=1.7
19,drama,(아는 건 별로 없지만) 가족입니다,덕수궁 돌담길,10회 방송에서는 술 취한 찬혁(김지석)과 술 취한 은희(한예리)가 20대 가을의 추억을 되새기기 위해 이 산책로를 찾았다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 중구 세종대로 99,37.565924,126.97501,02-751-0734,2022-11-25,
20,drama,(아는 건 별로 없지만) 가족입니다,목남갤러리카페,카페의 옥상(실은 이곳이 옥상)에서 그녀에게 고백을 하고 두 사람은 이별의 키스로 저녁을 마무리한다. 은희는 언니의 차가 도착하는 것을 보고 갑자기 자신의 심장이 방금 키스한 사람이 아니라 다른 사람을 위해 뛰고 있다는 걸 깨닫는다,정보없음,정보없음,정보없음,서울특별시 중구 퇴계로68길 16,37.563753,127.00979,02-2256-9256,2022-11-25,
21,drama,(아는 건 별로 없지만) 가족입니다,그랜드 하얏트 인천,1회에서 김은희(한예리)사 P&F 북의 신임 부사장 임건주(신동욱)를 위한 환영 만찬은 펼쳐진다. 안으로 들어서자 결혼 1주년을 맞아 아내가 도착하기를 기다리는 전 남자친구 이종민(최웅 분)과 마주친다.,"매일 입실 15시, 퇴실 11시",정보없음,연중무휴,인천광역시 중구 영종해안남로321번길 208,37.440449,126.45747,032-745-1234,2022-11-25,https://th.bing.com/th/id/OIP.-34beMibLpO1cpNQnqM2rQHaFa?w=241&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
22,drama,(아는 건 별로 없지만) 가족입니다,고흥우주발사전망대,은신처로 가는 길에 윤태형(김태훈)은 5화에서 전망을 보기 위해 이 전망대 전망대에 잠시 들른다. 6회에서는 김은희(한예리)와 박찬혁(김지석)도 태형(은희의 처남)을 찾기 위해 이곳에 들르는 모습이 그려졌다.,화-일 09시 - 18시 (시기별 상이),정보없음,"월요일, 명절, 공휴일 다음날",전라남도 고흥군 영남면 해맞이로 840,34.585051,127.49236,061-830-5871,2022-11-25,https://th.bing.com/th/id/OIP.0wj3FgmHTxCWdRc3GKzXwQHaFj?w=241&h=181&c=7&r=0&o=5&dpr=1.3&pid=1.7
23,drama,(아는 건 별로 없지만) 가족입니다,파도리해수욕장,김은주(추자현)가 윤태형(김태훈)을 깜짝 찾아오자 두 사람은 이 해변을 찾아오며 최종 16회를 마무리 짓는다.,매일 10시 - 19시,정보없음,연중무휴,충청남도 태안군 소원면 파도길 63-12,36.738979,126.13356,041-670-2772,2022-11-25,https://th.bing.com/th/id/OIP.Qs7smHcqjplDi0gSKDLAEgHaE9?w=303&h=203&c=7&r=0&o=5&dpr=1.3&pid=1.7
24,drama,#좋맛탱: 좋은 맛에 취하다,카우카우펍 합정점,"그녀에게 끌리는 오싹한 선배 지수와 함께 밥을 먹는다. 실수로 언니의 셔츠에 소스를 바르고, 동생이 닦자고 손을 뻗기도 전에 같은 반 친구 이연남(김민규)이 그녀를 데리고 화장실로 가자고 한다. 연남은 충남에게 아침 일찍 장난을 쳤던 것에 대해 사과하고, 둘은 서로에게 별 감정 없음을 확인하고 친구가 되기로 한다.",매일 15시 - (익일) 05시,정보없음,연중무휴,서울특별시 마포구 독막로 10,37.548497,126.914483,02-325-5353,2022-11-25,https://th.bing.com/th/id/OIP.kaHHIXz9axSEpihqz0PIRwHaDV?w=305&h=157&c=7&r=0&o=5&dpr=1.3&pid=1.7
25,drama,#좋맛탱: 좋은 맛에 취하다,데코아발림 본점,"충남이 카페의 용암초콜릿 케이크가 먹고 싶었다. SNS에 올라온 부정적인 댓글 때문에 자신이 부족하다고 느끼지만, 연남은 그녀에게 자신을 격려한다. 시크릿가든 스타일로 충남과의 키스를 꿈꾸는 연남이도 여기에 있다.","월,수-토 12시 - 23시, 일 14시 - 23시",정보없음,화요일,서울특별시 마포구 독막로15길 13-6,37.548376,126.92179,0507-1357-1970,2022-11-25,https://th.bing.com/th/id/OIP.ctQN0CDUkd4VmTFY3aX6lwHaE6?w=248&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
26,drama,#좋맛탱: 좋은 맛에 취하다,정항우케익 서울연남점,"그녀는 어린 시절의 달달한 만남 때문에 카페 주인 홍대영(김성규)을 짝사랑하고 있는 것으로 밝혀졌다. 1화에서는 학교 선배인 김태이(HELLOVENUS 유영), 이연남(김민구)과 함께 온다. (대영이가 연남과 인연이 있는 줄도 모르고.)",화-일 10시 - 22시,정보없음,월요일,서울특별시 마포구 동교로29길 48,37.56249,126.92278,0507-1380-1301,2022-11-25,https://th.bing.com/th/id/OIP.Az6mwIpRJnJMtI-6BjSG6wAAAA?w=164&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
27,drama,#좋맛탱: 좋은 맛에 취하다,공간비틀즈,"1화에서 소름 끼치는 선배 지수가 저녁 식사 후 충남에게 집까지 태워주려 하고, 연남이 대신 걸어주겠다고 제안하는 모습이 나온다. 2화에서 연남은 술에 취한 충남이 지수와 함께 떠났다는 사실을 알고 급히 식당을 나선다.",월-토 19시 - (익일) 06시,정보없음,일요일,서울특별시 마포구 와우산로29길 27 B1,37.555019,126.92838,정보없음,2022-11-25,https://th.bing.com/th/id/OIP.YjrNONxTmKBlu6tNdf_6PgHaHa?w=203&h=203&c=7&r=0&o=5&dpr=1.3&pid=1.7
28,drama,#좋맛탱: 좋은 맛에 취하다,율곡로3길,"7회(전체 2회)에서 카페에서 애프터눈 티를 먹은 후 정서현(노을, 전 레인보우)과 홍대영(김성규)이 이 거리를 산책한다.",매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 율곡로3길,37.577811,126.98239,02-2148-1114,2022-11-25,https://th.bing.com/th/id/OIP.KQRbnGxiFhJY-khxL_CyegHaFh?w=214&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
29,drama,1%의 어떤것,사천진해수욕장,이재인(하식진)이 김다현(전소민)과 계약이 끝나기 전 마지막 데이트를 위해 데려온 곳이다.,매일 00시 - 24시,정보없음,연중무휴,강원도 강릉시 사천면 사천진리 266-2,37.842094,128.874568,033-640-4414,2022-11-25,https://th.bing.com/th/id/OIP.etuiXjzW9SnpfOTvKLehKQEyDM?w=270&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
30,drama,1%의 어떤것,보헤미안박이추커피,14회에서 이재인(하석진)과 김다현(전소민)이 해변 데이트를 마치고 이곳에 왔다. 다음 날 각자의 길을 갈 때 어떻게 할 것인지 이야기하고(계약기간이 끝나기 때문에) 재인은 다현에게 목걸이를 선물한다.,"평일 09시 - 20시, 주말 09시 - 19시",정보없음,연중무휴,강원도 강릉시 사천면 해안로 1107,37.846843,128.86688,033-642-6688,2022-11-25,
31,drama,1%의 어떤것,인터컨티넨탈 알펜시아 평창 리조트,이 호텔은 이재인(하식진)이 운영하는 성현그룹 소속 호텔이다.,"매일 입실 15시, 퇴실 11시",정보없음,연중무휴,강원도 평창군 대관령면 솔봉로 325,37.658254,128.66975,033-339-0000,2022-11-25,https://th.bing.com/th/id/OIP.VJbIamFsl5hpsNrPFF1ZmgHaDt?w=330&h=174&c=7&r=0&o=5&dpr=1.3&pid=1.7
32,drama,1%의 어떤것,라꼼마빌딩,김다현(전소민)은 이 카페에서 지수(백승헌)를 만난다. 2회에서 그녀는 팬클럽 회장이다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 어울마당로 44-1,37.548951,126.92088,02-6255-9979,2022-11-25,https://th.bing.com/th/id/OIP.lgpuqhe64a_ap5CKpkXkZwHaEw?w=281&h=181&c=7&r=0&o=5&dpr=1.3&pid=1.7
33,drama,17세의 조건,서울역,안서연(박시은 분)과 고민재(윤찬영 분)는 1회에서 이 역에서 지하철을 타고 집으로 돌아온다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 한강대로 405,37.554719,126.97065,02-6110-1331,2022-11-25,
34,drama,18 어게인,소토보체,"12회에서 한밤중 수영을 못하는 정다정(김하늘)이 한 곳에 걸려 넘어지고, 고우영(이도현), 예지훈(위하준)은 그녀를 구하기 위해 직접 물속으로 뛰어들었다.",매일 15시 - 11시 ,정보없음,연중무휴,강원도 홍천군 화촌면 군업안말길 153-15,37.74281,128.00877,02-3678-9582,2022-11-25,https://th.bing.com/th/id/OIP.7BjOv_fT4G_T36n5Ttnm3gHaEK?w=281&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
35,drama,18 어게인,오페라 디바스,"1회에서 홍대영(윤상현)이 두 자녀 홍시아(노정의), 홍시우(려운)와 함께 이 식당에서 점심을 먹었다.",매일 11시 30분 - 22시,정보없음,연중무휴,경기도 고양시 덕양구 행주산성로 141,37.59965,126.81624,0507-1329-2501,2022-11-25,https://th.bing.com/th/id/OIP.BKbZnVWkhcbd8z5NCWiNvwHaFj?w=247&h=185&c=7&r=0&o=5&dpr=1.3&pid=1.7
36,drama,18 어게인,서울대공원,홍대영(윤상현)은 두 아이 홍시아(이남경)과 홍시우(오자훈)는 4회에서 어려서 인연을 맺지 못한다.,매일 09시 - 17시,정보없음,연중무휴,경기도 과천시 대공원광장로 102,37.427542,127.01701,02-500-7335,2022-11-25,
37,drama,18 어게인,모로미쿠시 광교카페거리점,18회에서 절친 고덕진(김강현)과 이 이자카야에서 하트 투 하트 토크를 나눴다.,매일 17시 30분 - (익일) 01시,정보없음,연중무휴,경기도 수원시 영통구 센트럴파크로127번길 48,37.294673,127.05381,031-215-4222,2022-11-25,https://th.bing.com/th/id/OIP.zFSCKqyj2GHqGJC9xG_pRAHaHa?w=200&h=200&c=7&r=0&o=5&dpr=1.3&pid=1.7
38,drama,18 어게인,파머스테이블,"18회에서 홍대영(윤상현)과 정다정(김하늘)은 두 자녀 홍시아(노정의), 홍시우(려운)와 함께 이곳에서 가족 회식을 가졌다.","화-목, 주말 11시 30분 - 21시, 금 13시 30분 - 21시","화-목 15시 - 17시, 주말 15시 30분 - 16시 30분",월요일,경기도 파주시 탄현면 헤이리마을길 59-77,37.7902235,126.695397,031-948-6225,2022-11-25,https://th.bing.com/th/id/OIP.MOb-sgwwRO-VmmWSBXjxTAHaE8?w=266&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
39,drama,18 어게인,화이트블럭,최일권(이기우)은 5화에서 정다정(김하늘)과 만나 파티 친구들과의 내기에서 이기기 위한 작전을 세우고 홍대영(이도현)은 멀리서 이 광경을 지켜본다.,"카페 평일 10시 30분 - 19시, 주말 10시 30분 - 21시, 전시 평일 11시 - 18시, 주말 11시 - 18시 30분",정보없음,연중무휴,경기도 파주시 탄현면 헤이리마을길 72,37.7889189,126.699592,031-992-4400,2022-11-25,https://th.bing.com/th/id/OIP.atlQ5lkYhljIVA2M4a8E4gHaFj?w=229&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
40,drama,18 어게인,퍼스트가든,12화에서 예지훈(위하준)을 모델로 한 고고플레이의 신작 '스파르타 - 전쟁의 왕' 게임은 이 정원에서 런칭된다.,매일 10시 - 22시,정보없음,연중무휴,경기도 파주시 탑삭골길 260,37.7321551,126.793933,031-957-6861,2022-11-25,https://th.bing.com/th/id/OIP.BVXd_aUIT2G1nML62s1SEQHaE8?w=297&h=198&c=7&r=0&o=5&dpr=1.3&pid=1.7
41,drama,18 어게인,엘빈에비뉴라운지,12회에서 추애린(이미도)이 고덕진(김강현)을 불러 이 술집에 술을 들이키는 모습이 그려졌다.,월-토 19시 - (익일) 03시,정보없음,일요일,서울특별시 강남구 강남대로92길 13,37.4990249,127.02849,0507-1314-9449,2022-11-25,https://th.bing.com/th/id/OIP.zylU_6z8d8pAraSJdnzY7gHaJQ?w=153&h=192&c=7&r=0&o=5&dpr=1.3&pid=1.7
42,drama,18 어게인,태그호이어 청담점,"7, 9회에서 이 건물의 외관은 최일권(이기우)이 정기적으로 선생님과 학부모 간담회를 하는이 클럽의 하나로 등장한다.",매일 11시 30분 - 19시 30분,정보없음,연중무휴,서울특별시 강남구 선릉로 828,37.5258,127.0402,02-548-6020,2022-11-25,https://th.bing.com/th/id/OIP.eRDfB0ox-8OEKRcObYWUvQAAAA?w=212&h=149&c=7&r=0&o=5&dpr=1.3&pid=1.7
43,drama,18 어게인,C156,이 장소는 2회에서 정다정(김하늘)과 절친 추애린(이미도)이 술을 마시러 왔다가 그날 저녁 아르바이트생으로 오빠를 도와주는 일권과 마주치는 최일권(이기우)의 동생이 운영하는 레스토랑 바로 등장한다..,매일 12시 - 22시,15시 - 17시,명절(당일),서울특별시 광진구 동일로 156,37.546081,127.06649,0507-1311-0060,2022-11-25,https://th.bing.com/th/id/OIP.kbfyqHF1NBUPuykgcmoQAwHaDy?w=284&h=178&c=7&r=0&o=5&dpr=1.3&pid=1.7
44,drama,18 어게인,벌스가든,12회에서 정다정(김하늘)은 홍대영(윤상현)과 함께 입구 옆 쉼터를 찾았던 순간을 회상한다. 그리고 그는 우산과 꽃을 들고 돌아오기 위해 잠시 떠납니다.,"화-토 12시 - 22시 , 일 12시 - 21시",정보없음,월요일,서울특별시 마포구 성미산로23길 44,37.565239,126.92054,0507-1364-1888,2022-11-25,https://th.bing.com/th/id/OIP.emI23khHqz6h4G5Fwht4HgHaHa?w=180&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
45,drama,18 어게인,성미산로29길,"고우영(이도현)과 홍시우(려운)는 18회7화에서 정다정(김하늘)과 추애린(이미도)을 마주치고, 우영은 애린이 자신의 정체를 밝혀내는 것을 두려워한다.",매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 성미산로29길 3,37.564235,126.92285,02-3153-8114,2022-11-25,https://th.bing.com/th/id/OIP.XU1-cvt0J0jiqwlr1IDW8wHaGS?w=190&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
46,drama,18 어게인,누리꿈스퀘어빌딩,추애린(이미도)이 일하는 방송사로 등장한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 연남동 396,37.579272,126.89028,02-2132-1000,2022-11-25,https://th.bing.com/th/id/OIP.Xj6ef5VF7XjCRdUNHIwnvwHaD8?w=316&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
47,drama,18 어게인,곤밥,8회에서 예지훈(위하준)이 정다정(김하늘)을 저녁식사로 이 식당에 데려온다. 그리고 그들이 떠날 때 여사장님(박은영 카메오)과 지훈은 모두 다정에게 사인을 부탁한다.,월-토 16시 - 24시,정보없음,일요일,서울특별시 마포구 토정로 105,37.54516,126.92256,02-336-5157,2022-11-25,https://th.bing.com/th/id/OIP.2udD75kI2JGRxDGahuigFQAAAA?w=215&h=210&c=7&r=0&o=5&dpr=1.3&pid=1.7
48,drama,18 어게인,올드문래,8회에서 정다정(김하늘)은 절친 추애린(이미도)을 이 식당에서 만났다.,"월-목 11시 - 24시, 금 11시 - (익일) 01시, 토 12시 - (익일) 01시, 일 12시 - 24시",정보없음,연중무휴,서울특별시 영등포구 도림로 433-6,37.5138911,126.8942605,정보없음,2022-11-25,https://th.bing.com/th/id/OIP.uXt0drdZS3FJenpBtD92BwHaFj?w=268&h=201&c=7&r=0&o=5&dpr=1.3&pid=1.7
49,drama,18 어게인,클럽메카,5화에서 일권이 정다중(김하늘)을 유혹하겠다는 내기를 수락했다는 것이 밝혀지는 장면이 나온다. 7회에서 일권은 이 클럽에서 사모회를 열고 정다중(김하늘)과 고덕진(김강현)의 아들이 들어갈 수 있도록 돈을 갈취하려 한다.,주말 20시 - (익일) 06시,정보없음,평일,서울특별시 용산구 녹사평대로 140 크라운호텔 지하1층,37.531482,126.99078,정보없음,2022-11-25,https://th.bing.com/th/id/OIP.ogfuxsvKipsPYSmjvxlydgHaFj?w=217&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
50,drama,18 어게인,더리버,15회에서 정다정(김하늘 분)과 예지훈(위하준 분)은 이 장소에서 만나 마음을 터놓고 이야기를 나눈다.,매일 12시 - 21시,정보없음,연중무휴,서울특별시 용산구 용산동6가 451,37.507108,126.98472,02-595-7148,2022-11-25,
51,drama,18 어게인,이촌로29길,8회에서 홍대영(윤상현)은 이 거리에서 아버지 홍주만(이병준)과의 결별의 순간을 회상한다. 그의 아버지가 철로를 건너는 동안 그는 뒤에 머물렀다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 이촌로29길,37.525257,126.96103,02-2199-6114,2022-11-25,https://th.bing.com/th/id/OIP.Lk1ZfatuWzOiHkXP8XDE3QHaHa?w=175&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
52,drama,18 어게인,서울드래곤시티,"정다정(김하늘 분)과 고우영/홍대영(이도현 분)이 함께 점심을 먹은 후, 다시 12화 이 장소에서 그랜드 메르큐어 호텔의 문을 통해 식당을 빠져나온다.",내부시설별 상이,정보없음,연중무휴,서울특별시 용산구 청파로20길 95,37.531844,126.96306,02-2223-7000,2022-11-25,https://th.bing.com/th/id/OIP.ddtBEnZee4xEMou_u3FdxAHaFO?w=250&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
53,drama,18 어게인,창신동 채석장 전망대,14회에서 오해가 풀린 후 홍대영(이도현)은 정다정(김하늘)과 이 곳에서 키스를 나눈다.,"화-금 11시 - 22시, 주말 11시 - 22시",정보없음,월요일,서울특별시 종로구 낙산5길 51,37.578223,127.01164,0507-1330-5416,2022-11-25,https://th.bing.com/th/id/OIP.pAXVOuMAiFw1PBsadn-ZBgAAAA?w=183&h=122&c=7&r=0&o=5&dpr=1.3&pid=1.7
