,제목,장소명,장소설명,주소
10,(아는 건 별로 없지만) 가족입니다,가든포에트,9화에서 이진숙(원미경)과 딸 김은주(추자현)가 찾아온 카페이다,서울특별시 마포구 와우산로14길 12
11,(아는 건 별로 없지만) 가족입니다,구룡근린공원,12회에서 김지우(신재하 분)와 윤서영(신혜정/혜정 분)이 이 공원에서 회사 제품 화보 촬영을 한다.,서울특별시 마포구 월드컵북로 456
12,(아는 건 별로 없지만) 가족입니다,월드컵공원,12회에서 김은희(한예리)와 박찬혁(김지석)이 진솔한 이야기를 나누기 위해 이 공원을 찾아온다.,서울특별시 마포구 하늘공원로 86
13,(아는 건 별로 없지만) 가족입니다,소월로 계단 3번,김상식(정진영)은 12회에서 아내 이진숙(원미경)을 데리고 이 계단으로 나와 아이들에게 커피 테이크아웃을 시켜준다.,서울특별시 용산구 소월로 168
14,(아는 건 별로 없지만) 가족입니다,대학로11길,김은희(김지석)는 이곳을 지나가다가 학생들이 걸어가는 방향을 피해서 김은희(예한) 학생들을 붙잡는다. 그리고 나서 그는 그녀의 손을 잡을 기회를 잡는다. 잠시 말문이 막힌 은희가 어색하지 않게 손을 뗀다.,서울특별시 종로구 대학로11길 13
15,(아는 건 별로 없지만) 가족입니다,커피한약방 혜화점,김상식(정진영)은 온라인에서 나이 많은 커플들의 좋은 데이트 장소로 검색해 아내 이진숙(원미경)을 데려왔다. 그는 온라인에서 읽은 데이트 조언에 따라 커피를 마시면서 휴대 전화에 사진을 보여줍니다. (진심어린 대화로 상황이 더 진지해질 때까지.),서울특별시 종로구 동숭2길 9
16,(아는 건 별로 없지만) 가족입니다,포시즌스호텔,12화에서 바리스터 안효석(이종원)이 김은주(추자현)에게 작별인사를 하고 있다.,서울특별시 종로구 새문안로 97
17,(아는 건 별로 없지만) 가족입니다,푸른기린주차장,"김은희(한예리)는 4년 만에 만난 박찬혁(김지욱)과 저녁을 먹기 위해 이 주차장에 차를 주차했다. 저녁식사 후, 그는 주차비를 지불하고 그녀를 배웅해 준다.",서울특별시 종로구 화동 58-1
18,(아는 건 별로 없지만) 가족입니다,이비스 스타일 앰배서더 명동,계약 체결 중 박찬혁(김지석)은 그날 밤 김은주(추자현)로부터 만나자고 연락을 받는다. 그는 이 술집에서 은주를 만난다. 은주의 결혼 사진과 가족 문제에 대해 이야기한다.,서울특별시 중구 삼일대로 302
19,(아는 건 별로 없지만) 가족입니다,덕수궁 돌담길,10회 방송에서는 술 취한 찬혁(김지석)과 술 취한 은희(한예리)가 20대 가을의 추억을 되새기기 위해 이 산책로를 찾았다.,서울특별시 중구 세종대로 99
20,(아는 건 별로 없지만) 가족입니다,목남갤러리카페,카페의 옥상(실은 이곳이 옥상)에서 그녀에게 고백을 하고 두 사람은 이별의 키스로 저녁을 마무리한다. 은희는 언니의 차가 도착하는 것을 보고 갑자기 자신의 심장이 방금 키스한 사람이 아니라 다른 사람을 위해 뛰고 있다는 걸 깨닫는다,서울특별시 중구 퇴계로68길 16
21,(아는 건 별로 없지만) 가족입니다,그랜드 하얏트 인천,1회에서 김은희(한예리)사 P&F 북의 신임 부사장 임건주(신동욱)를 위한 환영 만찬은 펼쳐진다. 안으로 들어서자 결혼 1주년을 맞아 아내가 도착하기를 기다리는 전 남자친구 이종민(최웅 분)과 마주친다.,인천광역시 중구 영종해안남로321번길 208
22,(아는 건 별로 없지만) 가족입니다,고흥우주발사전망대,은신처로 가는 길에 윤태형(김태훈)은 5화에서 전망을 보기 위해 이 전망대 전망대에 잠시 들른다. 6회에서는 김은희(한예리)와 박찬혁(김지석)도 태형(은희의 처남)을 찾기 위해 이곳에 들르는 모습이 그려졌다.,전라남도 고흥군 영남면 해맞이로 840
23,(아는 건 별로 없지만) 가족입니다,파도리해수욕장,김은주(추자현)가 윤태형(김태훈)을 깜짝 찾아오자 두 사람은 이 해변을 찾아오며 최종 16회를 마무리 짓는다.,충청남도 태안군 소원면 파도길 63-12
24,#좋맛탱: 좋은 맛에 취하다,카우카우펍 합정점,"그녀에게 끌리는 오싹한 선배 지수와 함께 밥을 먹는다. 실수로 언니의 셔츠에 소스를 바르고, 동생이 닦자고 손을 뻗기도 전에 같은 반 친구 이연남(김민규)이 그녀를 데리고 화장실로 가자고 한다. 연남은 충남에게 아침 일찍 장난을 쳤던 것에 대해 사과하고, 둘은 서로에게 별 감정 없음을 확인하고 친구가 되기로 한다.",서울특별시 마포구 독막로 10
25,#좋맛탱: 좋은 맛에 취하다,데코아발림 본점,"충남이 카페의 용암초콜릿 케이크가 먹고 싶었다. SNS에 올라온 부정적인 댓글 때문에 자신이 부족하다고 느끼지만, 연남은 그녀에게 자신을 격려한다. 시크릿가든 스타일로 충남과의 키스를 꿈꾸는 연남이도 여기에 있다.",서울특별시 마포구 독막로15길 13-6
26,#좋맛탱: 좋은 맛에 취하다,정항우케익 서울연남점,"그녀는 어린 시절의 달달한 만남 때문에 카페 주인 홍대영(김성규)을 짝사랑하고 있는 것으로 밝혀졌다. 1화에서는 학교 선배인 김태이(HELLOVENUS 유영), 이연남(김민구)과 함께 온다. (대영이가 연남과 인연이 있는 줄도 모르고.)",서울특별시 마포구 동교로29길 48
27,#좋맛탱: 좋은 맛에 취하다,공간비틀즈,"1화에서 소름 끼치는 선배 지수가 저녁 식사 후 충남에게 집까지 태워주려 하고, 연남이 대신 걸어주겠다고 제안하는 모습이 나온다. 2화에서 연남은 술에 취한 충남이 지수와 함께 떠났다는 사실을 알고 급히 식당을 나선다.",서울특별시 마포구 와우산로29길 27 B1
28,#좋맛탱: 좋은 맛에 취하다,율곡로3길,"7회(전체 2회)에서 카페에서 애프터눈 티를 먹은 후 정서현(노을, 전 레인보우)과 홍대영(김성규)이 이 거리를 산책한다.",서울특별시 종로구 율곡로3길
29,1%의 어떤것,사천진해수욕장,이재인(하식진)이 김다현(전소민)과 계약이 끝나기 전 마지막 데이트를 위해 데려온 곳이다.,강원도 강릉시 사천면 사천진리 266-2
30,1%의 어떤것,보헤미안박이추커피,14회에서 이재인(하석진)과 김다현(전소민)이 해변 데이트를 마치고 이곳에 왔다. 다음 날 각자의 길을 갈 때 어떻게 할 것인지 이야기하고(계약기간이 끝나기 때문에) 재인은 다현에게 목걸이를 선물한다.,강원도 강릉시 사천면 해안로 1107
31,1%의 어떤것,인터컨티넨탈 알펜시아 평창 리조트,이 호텔은 이재인(하식진)이 운영하는 성현그룹 소속 호텔이다.,강원도 평창군 대관령면 솔봉로 325
32,1%의 어떤것,라꼼마빌딩,김다현(전소민)은 이 카페에서 지수(백승헌)를 만난다. 2회에서 그녀는 팬클럽 회장이다.,서울특별시 마포구 어울마당로 44-1
33,17세의 조건,서울역,안서연(박시은 분)과 고민재(윤찬영 분)는 1회에서 이 역에서 지하철을 타고 집으로 돌아온다.,서울특별시 용산구 한강대로 405
34,18 어게인,소토보체,"12회에서 한밤중 수영을 못하는 정다정(김하늘)이 한 곳에 걸려 넘어지고, 고우영(이도현), 예지훈(위하준)은 그녀를 구하기 위해 직접 물속으로 뛰어들었다.",강원도 홍천군 화촌면 군업안말길 153-15
35,18 어게인,오페라 디바스,"1회에서 홍대영(윤상현)이 두 자녀 홍시아(노정의), 홍시우(려운)와 함께 이 식당에서 점심을 먹었다.",경기도 고양시 덕양구 행주산성로 141
36,18 어게인,서울대공원,홍대영(윤상현)은 두 아이 홍시아(이남경)과 홍시우(오자훈)는 4회에서 어려서 인연을 맺지 못한다.,경기도 과천시 대공원광장로 102
37,18 어게인,모로미쿠시 광교카페거리점,18회에서 절친 고덕진(김강현)과 이 이자카야에서 하트 투 하트 토크를 나눴다.,경기도 수원시 영통구 센트럴파크로127번길 48
38,18 어게인,파머스테이블,"18회에서 홍대영(윤상현)과 정다정(김하늘)은 두 자녀 홍시아(노정의), 홍시우(려운)와 함께 이곳에서 가족 회식을 가졌다.",경기도 파주시 탄현면 헤이리마을길 59-77
39,18 어게인,화이트블럭,최일권(이기우)은 5화에서 정다정(김하늘)과 만나 파티 친구들과의 내기에서 이기기 위한 작전을 세우고 홍대영(이도현)은 멀리서 이 광경을 지켜본다.,경기도 파주시 탄현면 헤이리마을길 72
40,18 어게인,퍼스트가든,12화에서 예지훈(위하준)을 모델로 한 고고플레이의 신작 '스파르타 - 전쟁의 왕' 게임은 이 정원에서 런칭된다.,경기도 파주시 탑삭골길 260
41,18 어게인,엘빈에비뉴라운지,12회에서 추애린(이미도)이 고덕진(김강현)을 불러 이 술집에 술을 들이키는 모습이 그려졌다.,서울특별시 강남구 강남대로92길 13
42,18 어게인,태그호이어 청담점,"7, 9회에서 이 건물의 외관은 최일권(이기우)이 정기적으로 선생님과 학부모 간담회를 하는이 클럽의 하나로 등장한다.",서울특별시 강남구 선릉로 828
43,18 어게인,C156,이 장소는 2회에서 정다정(김하늘)과 절친 추애린(이미도)이 술을 마시러 왔다가 그날 저녁 아르바이트생으로 오빠를 도와주는 일권과 마주치는 최일권(이기우)의 동생이 운영하는 레스토랑 바로 등장한다..,서울특별시 광진구 동일로 156
44,18 어게인,벌스가든,12회에서 정다정(김하늘)은 홍대영(윤상현)과 함께 입구 옆 쉼터를 찾았던 순간을 회상한다. 그리고 그는 우산과 꽃을 들고 돌아오기 위해 잠시 떠납니다.,서울특별시 마포구 성미산로23길 44
45,18 어게인,성미산로29길,"고우영(이도현)과 홍시우(려운)는 18회7화에서 정다정(김하늘)과 추애린(이미도)을 마주치고, 우영은 애린이 자신의 정체를 밝혀내는 것을 두려워한다.",서울특별시 마포구 성미산로29길 3
46,18 어게인,누리꿈스퀘어빌딩,추애린(이미도)이 일하는 방송사로 등장한다.,서울특별시 마포구 연남동 396
47,18 어게인,곤밥,8회에서 예지훈(위하준)이 정다정(김하늘)을 저녁식사로 이 식당에 데려온다. 그리고 그들이 떠날 때 여사장님(박은영 카메오)과 지훈은 모두 다정에게 사인을 부탁한다.,서울특별시 마포구 토정로 105
48,18 어게인,올드문래,8회에서 정다정(김하늘)은 절친 추애린(이미도)을 이 식당에서 만났다.,서울특별시 영등포구 도림로 433-6
49,18 어게인,클럽메카,5화에서 일권이 정다중(김하늘)을 유혹하겠다는 내기를 수락했다는 것이 밝혀지는 장면이 나온다. 7회에서 일권은 이 클럽에서 사모회를 열고 정다중(김하늘)과 고덕진(김강현)의 아들이 들어갈 수 있도록 돈을 갈취하려 한다.,서울특별시 용산구 녹사평대로 140 크라운호텔 지하1층
50,18 어게인,더리버,15회에서 정다정(김하늘 분)과 예지훈(위하준 분)은 이 장소에서 만나 마음을 터놓고 이야기를 나눈다.,서울특별시 용산구 용산동6가 451
51,18 어게인,이촌로29길,8회에서 홍대영(윤상현)은 이 거리에서 아버지 홍주만(이병준)과의 결별의 순간을 회상한다. 그의 아버지가 철로를 건너는 동안 그는 뒤에 머물렀다.,서울특별시 용산구 이촌로29길
52,18 어게인,서울드래곤시티,"정다정(김하늘 분)과 고우영/홍대영(이도현 분)이 함께 점심을 먹은 후, 다시 12화 이 장소에서 그랜드 메르큐어 호텔의 문을 통해 식당을 빠져나온다.",서울특별시 용산구 청파로20길 95
53,18 어게인,창신동 채석장 전망대,14회에서 오해가 풀린 후 홍대영(이도현)은 정다정(김하늘)과 이 곳에서 키스를 나눈다.,서울특별시 종로구 낙산5길 51
54,18 어게인,낙산공원,1회에서 젊은 홍대영(이도현)과 정다정(한소은)이 젊은 부모가 되는 것이 무엇을 의미하는지 토론하는 곳으로 나온다.,서울특별시 종로구 낙산길 41
55,18 어게인,삼일빌라,홍씨 가족은 이 아파트에 살고 있다.,서울특별시 종로구 백석동1가길 12
56,18 어게인,경희궁3길,8회에서 홍대영(윤상현 분)은 아들 홍시우(려은 분)와 길을 건너던 이 거리에서 자신이 아이들과 얼마나 소원해졌는지 회상하며 특정 순간을 회상한다.,서울특별시 종로구 사직동 경희궁 3길
57,18 어게인,청계천,정다정(김하늘)과 청소년 홍대영(이도현)은 15회에서 밤에 이 다리와 다리 사이를 건너며 데이트한다.,서울특별시 종로구 서린동 148
58,18 어게인,시우식당,8회에서 술을 마시러 식당에 찾아와 홍대가 희생한 모든 것을 생각하며 눈물을 흘린다.,서울특별시 종로구 필운대로 18
59,18 어게인,파로그랜드,12회에서 정다정(김하늘)은 이 식당에 점심식사를 초대받았다.,서울특별시 중구 을지로5길 26
60,18 어게인,송도센트럴파크호텔,8회에서 추애린(이미도)의 전 남자친구(허정민)가 그녀를 이 호텔로 데려와 이야기를 나눈다.,인천광역시 연수구 테크노파크로 193
61,20세기 소년소녀,더백푸드트럭,드라마의 포스터 촬영이 있던 장소다.,서울특별시 용산구 신흥로20길 45-1
62,20세기 소년소녀,회현시민아파트,20세기 소녀의 포스터 촬영은 이 아파트 단지 앞에서 찍혔다.,서울특별시 중구 퇴계로8길 101
63,20세기 소년소녀,인천국제공항,1화에서 사진진(한예슬)이 이곳을 떠나 상하이로 떠난다.,인천광역시 중구 공항로 272
64,365: 운명을 거스르는 1년,서강대교,1화 오프닝에서 지형주(이준혁 분)가 이 다리를 건너 운전을 한다.,서울특별시 영등포구 여의도동 서강대교
65,365: 운명을 거스르는 1년,낙산공원,2화에서 신가현(남지현)은 그림을 그리기 위해 밤에 이 공원에 온다,서울특별시 종로구 낙산길 41
66,365: 운명을 거스르는 1년,모나무르 복합문화공간 아산,"각계각층의 10인, 그러나 지형주(이준혁)와 신가현(남지현)을 포함해 일종의 트라우마를 겪은 이들은 모두 '시안 클리닉'으로 소환된다. 인생을 1년 전으로 되돌릴 수 있는 기회를 제공하고 운명을 바꿀 수 있는 능력을 갖게 되면서 시간 여행이 시작된다.",충청남도 아산시 순천향로 624
67,49일,그랜드머큐어앰배서더 창원,드라마의 '서울호텔'로 등장. 2회에서 신지현(남규리)이 송이경(이요원)의 몸으로 직장 증명서를 받는 모습이 그려졌다. 호텔을 산책하던 중 그녀는 약혼자의 외도를 알게 된다.,경상남도 창원시 성산구 원이대로 332
68,49일,DMC첨단산업센터,이 건물은 신인정(서지혜)의 직장으로 등장.,서울특별시 마포구 성암로 330
69,49일,누브티스 성북동점,드라마 등장인물인 한강(조현재)이 운영하는 천국카페로 등장한다. 한강 건축사무소는 이 건물 1층에 있습니다.,서울특별시 성북구 선잠로 42
70,49일,청계천,1회에서는 신지현의 모습을 볼 수 있다. (남규리) 이 다리를 건너 결혼식장으로 간다.,서울특별시 종로구 서린동 148
71,49일,중앙고등학교,11회에서 한강(조현재)과 송이경(이요원)의 몸을 사용하는 신지현은 학창시절을 추억하기 위해 진안으로 각자 여행을 떠났을 때 이 학교에 와서 우연히 마주친다.,서울특별시 종로구 창덕궁길 164
72,49일,필운대로5가,2회에서 잠에서 깨어난 송이경(이요원)의 몸으로 이 거리를 걷던 신지현(남규리)은 갑자기 스케줄러(정일우)가 나타나 누군가의 몸을 빌릴 때의 법칙을 상기시킨다.,서울특별시 종로구 필운대로5가길
73,49일,대룡시장,23회에서 거북당에서 박주현(장영함)이 오태석(주석래)에게 선물로 자켓을 사고 싶어하는 '영천시장'으로 등장한다.,인천광역시 강화군 교동면 대룡리 1103-11
74,49일,마이산탑사,11회에서 한강(조현재)은 암살자를 찾으러 이 절에 온다.,전라북도 진안군 마령면 마이산남로 367
75,49일,부귀 메타세쿼이아길,11화에서 마이산 탑사로 가는 길에 이 거리를 운전한다.,전라북도 진안군 북귀면 세동리 모래재로 69-15
76,"60일, 지정생존자",합천 영상 테마파크,국회 폭발 직후의 장면이 이곳에서 촬영됐다.,경상남도 합천군 용주면 합천호수로 757
77,"60일, 지정생존자",국립대전현충원,5회에서 '국회의사당 폭탄 테러 희생자 추도식'이 열리는 곳이 바로 이 묘지다.,대전광역시 유성구 현충원로 251
78,"60일, 지정생존자",서강대교,박무진(지진희 분)은 1회에서 이 다리 위를 운전하던 중 차를 들이받는다. 교통이 완전히 멈추고 그들은 차에서 내려 이 다리에서 국회의 폭발을 목격한다.,서울특별시 영등포구 여의도동 서강대교
79,"60일, 지정생존자",한강 공원 여의도 지구,"윤찬경(배종옥 분)은 5회에서 이 공원에서 운동을 하는데, 그 뒤를 따라가지 못하는 비서가 따라온다.",서울특별시 영등포구 여의동로 290
80,"60일, 지정생존자",국회의사당,1화에서 이 건물에서 폭발이 일어난다. 여기에서 일하는 박무진(지진희)이 대통령이 되려 준비하다가 폭발사고 당일 현장 견학을 다녀온 딸이 살아 있는지 확인하기 위해 급히 달려온다.,서울특별시 영등포구 의사당대로 1
81,"60일, 지정생존자",탑골공원,3회에서 탈북자들이 국회 폭탄 테러 배후에 있다는 소문을 선동자들이 퍼뜨리는 곳이 바로 이 공원 앞이다.,서울특별시 종로구 종로 99
82,7급 공무원,아브뉴프랑 판교,이 단지의 일부는 김서원(최강희)의 회사로 등장합니다.,경기도 성남시 분당구 동판교로177번길 25
83,7일의 왕비,닭실마을,"2회에서는 이 정자로 통하는 돌다리 위에서 어린 이역(백승환), 어린 신채경(박시은), 어린 서노(최민영)가 친구가 되기로 맹세한다.",경상북도 봉화군 봉화읍 충재길 60
84,7일의 왕비,보리나라 학원농장,3화에서 어린 이역(백승환)과 어린 신채경(박시은)이 이 들판에서 비를 피할 곳을 찾는다.,전라북도 고창군 공음면 학원농장길 154
85,7일의 왕비,궁남지,10화에서 이영(이동건)은 이 연못에서 신채경(박민영)에게 강제 키스를 한다. 한편 이역(연우진)은 멀리서 현장을 지켜보고 있다.,충청남도 부여군 부여읍 궁남로 52
86,99억의 여자,리븐델 게스트하우스,"정서연(조여정)과 남편 홍인표(정웅인)는 친구 윤희주(오나라)와 남편 이재의 초청으로 주말 별장에 초대된다. 술에 취한 희주가 서연을 얕잡아보는 저녁, 상황이 어색해지면서 서연도 가차 없이 대답한다. 4회(2회)에서는 강태우(김강우)가 집주인에게 말을 걸기 위해 찾아와 말을 꺼리는 모습이 그려졌다. 태우는 별장에서 차를 몰고 나온 여자가 짐작대로 관리인의 딸이 아니라는 사실을 알게 된다.",경기도 가평군 청평면 고재길 262-46
87,99억의 여자,안성팜랜드,2회(전체 1회)에서 강태우(김강우)는 임시 십자가에 묶인 채 등장한다. ,경기도 안성시 공도읍 대신두길 28
88,99억의 여자,호텔엔트라,1회에서 정서연(조여정)은 친구 윤희주(오나라)의 남편 이재훈(이지훈)과 비밀리에 만나기 위해 이 호텔에 온다.,서울특별시 강남구 도산대로 508
89,9회말 2아웃,일산호수공원,1화에서 홍난희(수애)와 변형태(이정진)가 조깅을 하러 온다.,경기도 고양시 일산동구 호수로 731
90,9회말 2아웃,N서울타워,평생 친구였던 홍난희(수애)와 변형태(이정진)는 당시 정해진 관계가 아닌 서른이 되기 전에 이곳에서 함께 섣달 그믐날을 보내기로 약속했었다. 1화에서 남산타워에 있는 자신들을 발견하고 난희는 형태에게 이곳에서 결혼하라고 말한다.,서울특별시 용산구 남산공원길 105
91,9회말 2아웃,고브리또스커피,21화(전체 11화)에서 구의회 건물 밖에서 만난 권우영(김미수)과 김민재(한준우)는 마원신용협동조합 가입을 위해 이 카페로 향합니다.,인천광역시 남동구 인주대로 600
92,9회말 2아웃,인천국제공항,1회에서 홍난희(수애)가 변형태(이정진)를 이곳으로 보내는 장면이 나왔다.,인천광역시 중구 공항로 272
93,9회말 2아웃,마이랜드,"경기가 중단된 후, 조폭 장덕수(허성태)는 이 놀이동산 밖에서 지인을 만난다.",인천광역시 중구 월미로234번길 7
94,가면,일산호수공원,마지막 20회에서 딸과함께 서은하(수애)와 최민우(주지훈)를 본다.,경기도 고양시 일산동구 호수로 731
95,가면,체인지업캠퍼스 양평캠프,이곳은 최민우(주지훈)가 약혼자 서은하(수애)를 물에 빠뜨린 수영장으로 나온다.,경기도 양평군 용문면 연수로 209
96,가면,벽초지수목원,9화에서 최민우(주지훈)가 변지숙(수애)을 데려온다. 그는 그녀가 이곳에 와서 바람 소리와 새소리를 듣고 정신을 맑게 하는 방법을 설명하고 지숙의 미래 계획과 꿈을 묻는다.,경기도 파주시 광탄면 부흥로 242
97,가면,루카511,5회에서 인영과 송설희(박준금)가 식사를 한다.,서울특별시 강남구 도산대로81길 40
98,가면,서울대학교,6회에서 지숙의 형이 온 직후 민우도 그 자리를 찾아 화장실 청소를 하고 있는 지숙을 발견하고 당장 일을 그만두라고 명령한다.,서울특별시 관악구 관악로 1
99,가면,서울특별시 보라매병원,변지숙(수애)의 어머니는 간 이식 수술을 위해 이곳에 입원했다. 17화에서 어머니는 최미연(유인영 분)의 방해로 제때 이식을 받지 못해 그녀 앞에서 사망한다.,서울특별시 동작구 보라매로5길 20
100,가면,코스콤빌딩,1화에서 강동하(이현진)의 직장으로 등장한다.,서울특별시 영등포구 여의나루로4길 21
101,가면,담양 관방제림,강을 건널 때 민우는 어머니의 죽음에 죄책감을 느끼고 그 이후로 물을 건널 수 없다고 고백한다. 그녀는 그들이 한 단계씩 함께 나아가면서 시도할 것을 제안합니다.,전라남도 담양군 담양읍 객사7길 37
102,가면,죽녹원,14회에서 변지숙(수애)과 최민수(주지훈)는 서울 외곽으로 여행을 갔을 때 이곳을 지나고 있다.,전라남도 담양군 담양읍 죽녹원로 119
103,가면,메타세쿼이아 가로수길,4회에서 변지숙(수애)과 최민수(주지훈)가 산책을 하러 온다.,전라남도 담양군 담양읍 학동리 633
104,가면,제이딘주얼리,약혼을 앞둔 황희태(이도현)와 이수련(금새록)은 이모(김현)의 손에 이끌려 장보기로 나선다.,전라북도 전주시 완산구 전라감영4길 19
105,가시리잇고,신세계백화점 본점,8회에서 저녁 데이트를 위해 찾아왔지만 보름달이라 떠나야 한다고 말하며 그녀의 눈앞에서 곧 사라진다.,서울특별시 중구 소공로 63
106,가시리잇고,한국의 집,민유정(박정연)은 1회에서 이 장소에서 사적인 행사를 위해 해금을 연주한다.,서울특별시 중구 퇴계로36길 10
107,가족끼리 왜 이래,롯데캐슬아이비,13년의 혼수상태에서 깨어난 우서리(신혜선)는 자신의 집을 찾아보지만 이미 공우진(양세종) 가족의 소유임을 알게 된다. 오해가 풀린 후 그녀에게 떠나달라고 부탁하고 서리는 노숙자처럼 떠돌아다닌다.,서울특별시 영등포구 국제금융로 86
108,가족끼리 왜 이래,삼순이 계단,강서울(남지현)은 1회에서 남산타워를 방문하기 위해 이 계단을 이용한다.,서울특별시 중구 남산공원길 649
109,가화만사성,낙산사,"9회에서 나영원(정소민)과 유지성(김지석)이 직장 설문조사를 하러 이 사찰을 찾았다. 두 사람은 함께 일을 잘하기로 결정한다. 자성은 이 사찰과 관련이 있는 속담이 있는데, '합심하면 폐허에도 꽃이 핀다'는 말이 있다고 한다. 이어 그녀는 “거대한 산불로 인해 폐허가 된 곳인데, 이렇게 견고하게 복원된 모습을 보니 딱 들어맞는 표현인 것 같다”고 말했다.",강원도 양양군 강현면 낙산사로 100
110,가화만사성,일산호수공원,11회에서 봉해령(김소연)과 서지건(이상우)은 메타세쿼이아 골목길을 산책한다.,경기도 고양시 일산동구 호수로 731
111,가화만사성,아다마스253,13회에서 봉해령(김소연)은 저녁을 먹기 위해 이곳으로 갑니다.,경기도 파주시 탄현면 헤이리마을길 47
112,가화만사성,커피 스미스 홍대점,"기가 봉삼식(윤다훈)과 봉삼숙(지수원)이 행복한 집(가화만사성)(MBC, 2016)에서 일하는 곳입니다.",서울특별시 마포구 와우산로 82
113,가화만사성,가톨릭관동대학교 국제성모병원,9회에 나오는 병원의 배경이다.,인천광역시 서구 심곡로100번길 25
114,가화만사성,인천 신포동 개인주택,봉준호 가족이 사는 행복한 집으로 나온다.,인천광역시 중구 송학로 3
115,각시탈,운현궁 양관,서관의 정면은 기서회의 이시용 백작(안석환)과 이화경 백작부인(김정난)의 저택이다.,서울특별시 종로구 삼일대로 460
116,간 떨어지는 동거,크랙킨,6회에서 양혜선(김한나)가 보낸 문자를 본 후 혜선이 도착하자마자 도재진(김도완)이 땅에 물을 뱉어내고 놀란다.,경기도 고양시 일산동구 무궁화로141번길 8-8
117,간 떨어지는 동거,pino,11화에서 도재진(김도완)과 양혜선(김한나)이 데이트를 하러 이곳을 찾았다.,경기도 고양시 일산동구 애니골길 72
118,간 떨어지는 동거,웨스턴돔,4화에서 같은 임무를 맡은 도재진(김도완)과 양혜선(김한나)과 마주치게 되고 결국 함께 영화를 보게 된다.,경기도 고양시 일산동구 정발산로42번길 24
119,간 떨어지는 동거,광명동굴,최종회 16회에서 신우여(장기용)와 이담(걸즈데이 혜리)이 이곳에서 몰래 데이트를 하기 위해 학교수업을 빼먹는다.,경기도 광명시 가학로85번길 142
